08-JUN-17 09.26.02.971000000 AM, 10.42.8.9, venkgane, /ecommunications_sve/start.swe, HTTP:Click, Click on input, HTML_Text, <N/A>, <N/A>, 0.0, Betalningsinfo+333
08-JUN-17 12.15.53.122000000 AM, 10.42.253.230, mon_csr, /ecommunications_sve/start.swe, HTTP:Request, InvokeMethod, <none>, POST, 200, 1.7105714285714289, <N/A>
08-JUN-17 02.25.59.157000000 PM, 10.42.8.9, venkshan, /ecommunications_sve/start.swe, HTTP:Click, Click on link, ui-id-80, <N/A>, <N/A>, 0.0, Tj�nster
08-JUN-17 01.10.27.834000000 AM, 10.42.8.9, mon_csr, /ecommunications_sve/start.swe, HTTP:Click, Click on link, ui-id-73, <N/A>, <N/A>, 0.0, Tj�nster
08-JUN-17 10.13.03.369000000 AM, 10.42.8.9, yvonengma, /ecommunications_sve/start.swe, HTTP:Click, Click on link, ui-id-64, <N/A>, <N/A>, 0.0, Aktiviteter
08-JUN-17 12.20.30.591000000 PM, 10.42.253.230, johanils, /ecommunications_sve/start.swe, HTTP:Click, Click on input, s_5_1_7_0, <N/A>, <N/A>, 0.0, 
08-JUN-17 12.28.16.344000000 AM, 10.42.8.9, surygovi, /ecommunications_sve/start.swe, HTTP:Click, Click on link, ui-id-59, <N/A>, <N/A>, 0.0, Tj�nster
08-JUN-17 12.40.09.312000000 AM, 10.42.8.9, mohamoha, /ecommunications_sve/start.swe, HTTP:Click, Click on link, ui-id-8, <N/A>, <N/A>, 0.0, �renden
08-JUN-17 04.52.48.235000000 PM, 10.42.8.9, danireim, /ecommunications_sve/start.swe, HTTP:Click, Click on input, s_0_1_6_0, <N/A>, <N/A>, 0.0, 
08-JUN-17 12.31.27.992000000 AM, 10.156.153.21, karitimo, /ecommunications_sve/start.swe, HTTP:Request, InvokeMethod, Contact Detail View, POST, 200, 2.184925, <N/A>
08-JUN-17 05.01.48.594000000 PM, 10.42.8.9, eltoshtav, /ecommunications_sve/start.swe, HTTP:Click, Click on input, s_5_1_540_0, <N/A>, <N/A>, 0.0, 
08-JUN-17 03.53.05.469000000 PM, 10.42.8.9, ankiberge, /ecommunications_sve/start.swe, HTTP:Click, Click on link, ui-id-387, <N/A>, <N/A>, 0.0, Tj�nster
08-JUN-17 01.07.19.157000000 PM, 10.42.8.9, mathmari, /ecommunications_sve/start.swe, HTTP:Click, Click on button, GRPITEM[~^`grpItemId2`^~[LINK, <N/A>, <N/A>, 0.0, Slutf�r
08-JUN-17 12.32.26.414000000 AM, 10.42.253.230, mon_csr, /ecommunications_sve/start.swe, HTTP:Request, GotoView, Asset Mgmt - Assets View, POST, 200, 0.7941604938271601, <N/A>
08-JUN-17 05.21.29.126000000 PM, 10.42.8.9, mohanara, /ecommunications_sve/start.swe, HTTP:Click, Click on link, ui-id-230, <N/A>, <N/A>, 0.0, Tj�nster
08-JUN-17 06.39.27.081000000 AM, 10.42.8.9, mohanara, /ecommunications_sve/start.swe, HTTP:Click, Click on link, ui-id-356, <N/A>, <N/A>, 0.0, �renden
08-JUN-17 12.43.34.431000000 AM, 10.42.8.9, anneblom1, /ecommunications_sve/start.swe, HTTP:Click, Click on input, s_3_1_73_0, <N/A>, <N/A>, 0.0, 
08-JUN-17 11.11.20.912000000 AM, 10.42.8.9, venkshan, /ecommunications_sve/start.swe, HTTP:Click, Click on input, Name, <N/A>, <N/A>, 0.0, Allm�nt
