"TIMESTAMP","SOURCE_ADDR","URL_PATH","CATEGORY","SUB_CATEGORY_1","SUB_CATEGORY_2","METHOD","STATUS","DURATION","DOM_CONTENT"
"2017-05-16 16:00:15.0","106.51.137.152","/","HTTP:Click","Click on link","<none>","<N/A>","<N/A>","<N/A>","Home"
"2017-05-16 16:01:55.0","106.51.137.152","/give-us-a-shout/","HTTP:Request","Normal","<none>","GET","200","0.5470","<N/A>"
"2017-05-16 16:01:55.0","106.51.137.152","/give-us-a-shout/","HTTP:Click","Click on link","<none>","<N/A>","<N/A>","<N/A>","Contact us"
"2017-05-16 16:02:39.0","106.51.137.152","/give-us-a-shout/","HTTP:Click","<default>","<none>","<N/A>","<N/A>","<N/A>","H4"
"2017-05-16 16:04:03.0","106.51.137.152","/","HTTP:Click","Click on link","<none>","<N/A>","<N/A>","<N/A>","Home"
"2017-05-21 16:34:15.0","109.166.128.22","/cloud/","HTTP:Click","Click on button","<none>","<N/A>","<N/A>","<N/A>","Toggle navigation"
"2017-05-21 16:34:16.0","109.166.128.22","/cloud/","HTTP:Click","<default>","<none>","<N/A>","<N/A>","<N/A>","DIV"
"2017-05-21 16:34:17.0","109.166.128.22","/cloud","HTTP:Click","Click on link","<none>","<N/A>","<N/A>","<N/A>","Login"
"2017-05-17 12:35:36.0","109.173.219.118","/cloud","HTTP:Click","Click on link","<none>","<N/A>","<N/A>","<N/A>","FREE TRIAL (5min setup, No credit card)"
"2017-05-17 12:39:05.0","109.173.219.118","/pricing/","HTTP:Click","Click on link","<none>","<N/A>","<N/A>","<N/A>","Pricing"
"2017-05-17 12:39:41.0","109.173.219.118","/","HTTP:Request","Normal","<none>","GET","200","0.7580","<N/A>"
"2017-05-17 12:39:41.0","109.173.219.118","/pricing/","HTTP:Click","Click on image","<none>","<N/A>","<N/A>","<N/A>","http://germainapm.com/wp-content/uploads/2016/08/logo-website-2.png"
"2017-05-17 14:24:18.0","113.193.227.30","/","HTTP:Request","Normal","<none>","GET","200","1.4910","<N/A>"
"2017-05-17 14:26:05.0","113.193.227.30","/newrelic-vs-germain-apm/","HTTP:Click","Click on link","<none>","<N/A>","<N/A>","<N/A>","germain APM (24×7, real-time, end-to-end, big data)"
"2017-05-17 14:26:06.0","113.193.227.30","/newrelic-vs-germain-apm/","HTTP:Request","Normal","<none>","GET","200","1.0300","<N/A>"
"2017-05-17 14:26:33.0","113.193.227.30","/newrelic-vs-germain-apm/","HTTP:Click","<default>","<none>","<N/A>","<N/A>","<N/A>","P"
"2017-05-17 14:26:34.0","113.193.227.30","/newrelic-vs-germain-apm/","HTTP:Click","<default>","<none>","<N/A>","<N/A>","<N/A>","P"
"2017-05-17 14:26:47.0","113.193.227.30","/newrelic-vs-germain-apm/","HTTP:Click","<default>","<none>","<N/A>","<N/A>","<N/A>","H3"
"2017-05-17 14:26:47.0","113.193.227.30","/newrelic-vs-germain-apm/","HTTP:Click","<default>","<none>","<N/A>","<N/A>","<N/A>","H3"
"2017-05-17 14:26:52.0","113.193.227.30","/for-any-performance-management/application-performance-monitoring/","HTTP:Click","Click on link","<none>","<N/A>","<N/A>","<N/A>","Application Performance Monitoring (Real-time, End-to-end)"
"2017-05-22 08:21:06.0","114.137.55.159","/cloud/","HTTP:Click","<default>","<none>","<N/A>","<N/A>","<N/A>","DIV"
"2017-05-21 05:17:19.0","115.127.66.180","/","HTTP:Request","Normal","<none>","GET","200","2.9320","<N/A>"
"2017-05-21 05:17:39.0","115.127.66.180","/","HTTP:Request","Normal","<none>","GET","200","0.7020","<N/A>"
"2017-05-21 05:18:40.0","115.127.66.180","/","HTTP:Click","<default>","<none>","<N/A>","<N/A>","<N/A>","I"
"2017-05-19 07:51:51.0","115.152.100.253","/cloud/","HTTP:Click","<default>","<none>","<N/A>","<N/A>","<N/A>","FONT"
"2017-05-22 02:59:42.0","118.200.7.48","/hotnews/application-performance-management-for-crm/","HTTP:Request","Normal","<none>","GET","200","1.6910","<N/A>"
"2017-05-22 03:00:13.0","118.200.7.48","/hotnews/application-performance-management-for-crm/","HTTP:Click","<default>","footer","<N/A>","<N/A>","<N/A>","DIV"
"2017-05-22 03:01:11.0","118.200.7.48","/hotnews/application-performance-management-for-crm/","HTTP:Click","<default>","<none>","<N/A>","<N/A>","<N/A>","P"
